"level0","level1","Family type and number of dependent children in family(1)","count"
"No dependent children(3)","Hauraki-Waikato","Couple with child(ren)",4209
"One dependent child","Hauraki-Waikato","Couple with child(ren)",8877
"Two dependent children","Hauraki-Waikato","Couple with child(ren)",12789
"Three dependent children","Hauraki-Waikato","Couple with child(ren)",8130
"Four or more dependent children","Hauraki-Waikato","Couple with child(ren)",6621
"Number of dependent children unknown","Hauraki-Waikato","Couple with child(ren)",369
"No dependent children(3)","Ikaroa-Rāwhiti","Couple with child(ren)",3525
"One dependent child","Ikaroa-Rāwhiti","Couple with child(ren)",8331
"Two dependent children","Ikaroa-Rāwhiti","Couple with child(ren)",10971
"Three dependent children","Ikaroa-Rāwhiti","Couple with child(ren)",7260
"Four or more dependent children","Ikaroa-Rāwhiti","Couple with child(ren)",5697
"Number of dependent children unknown","Ikaroa-Rāwhiti","Couple with child(ren)",423
"No dependent children(3)","Tāmaki Makaurau","Couple with child(ren)",4941
"One dependent child","Tāmaki Makaurau","Couple with child(ren)",8703
"Two dependent children","Tāmaki Makaurau","Couple with child(ren)",11187
"Three dependent children","Tāmaki Makaurau","Couple with child(ren)",6081
"Four or more dependent children","Tāmaki Makaurau","Couple with child(ren)",5004
"Number of dependent children unknown","Tāmaki Makaurau","Couple with child(ren)",276
"No dependent children(3)","Te Tai Hauāuru","Couple with child(ren)",3921
"One dependent child","Te Tai Hauāuru","Couple with child(ren)",9900
"Two dependent children","Te Tai Hauāuru","Couple with child(ren)",13557
"Three dependent children","Te Tai Hauāuru","Couple with child(ren)",8541
"Four or more dependent children","Te Tai Hauāuru","Couple with child(ren)",6768
"Number of dependent children unknown","Te Tai Hauāuru","Couple with child(ren)",561
"No dependent children(3)","Te Tai Tokerau","Couple with child(ren)",4821
"One dependent child","Te Tai Tokerau","Couple with child(ren)",10143
"Two dependent children","Te Tai Tokerau","Couple with child(ren)",14010
"Three dependent children","Te Tai Tokerau","Couple with child(ren)",7974
"Four or more dependent children","Te Tai Tokerau","Couple with child(ren)",6384
"Number of dependent children unknown","Te Tai Tokerau","Couple with child(ren)",453
"No dependent children(3)","Te Tai Tonga","Couple with child(ren)",4974
"One dependent child","Te Tai Tonga","Couple with child(ren)",13617
"Two dependent children","Te Tai Tonga","Couple with child(ren)",20175
"Three dependent children","Te Tai Tonga","Couple with child(ren)",11010
"Four or more dependent children","Te Tai Tonga","Couple with child(ren)",5082
"Number of dependent children unknown","Te Tai Tonga","Couple with child(ren)",435
"No dependent children(3)","Waiariki","Couple with child(ren)",3342
"One dependent child","Waiariki","Couple with child(ren)",7737
"Two dependent children","Waiariki","Couple with child(ren)",11280
"Three dependent children","Waiariki","Couple with child(ren)",7413
"Four or more dependent children","Waiariki","Couple with child(ren)",5685
"Number of dependent children unknown","Waiariki","Couple with child(ren)",342
"No dependent children(3)","Area Outside Māori Electorate","Couple with child(ren)",NA
"One dependent child","Area Outside Māori Electorate","Couple with child(ren)",NA
"Two dependent children","Area Outside Māori Electorate","Couple with child(ren)",NA
"Three dependent children","Area Outside Māori Electorate","Couple with child(ren)",NA
"Four or more dependent children","Area Outside Māori Electorate","Couple with child(ren)",NA
"Number of dependent children unknown","Area Outside Māori Electorate","Couple with child(ren)",NA
"No dependent children(3)","Hauraki-Waikato","One parent with child(ren)",3315
"One dependent child","Hauraki-Waikato","One parent with child(ren)",7542
"Two dependent children","Hauraki-Waikato","One parent with child(ren)",7164
"Three dependent children","Hauraki-Waikato","One parent with child(ren)",4428
"Four or more dependent children","Hauraki-Waikato","One parent with child(ren)",3858
"Number of dependent children unknown","Hauraki-Waikato","One parent with child(ren)",255
"No dependent children(3)","Ikaroa-Rāwhiti","One parent with child(ren)",3315
"One dependent child","Ikaroa-Rāwhiti","One parent with child(ren)",7245
"Two dependent children","Ikaroa-Rāwhiti","One parent with child(ren)",6483
"Three dependent children","Ikaroa-Rāwhiti","One parent with child(ren)",3897
"Four or more dependent children","Ikaroa-Rāwhiti","One parent with child(ren)",3057
"Number of dependent children unknown","Ikaroa-Rāwhiti","One parent with child(ren)",273
"No dependent children(3)","Tāmaki Makaurau","One parent with child(ren)",4170
"One dependent child","Tāmaki Makaurau","One parent with child(ren)",7479
"Two dependent children","Tāmaki Makaurau","One parent with child(ren)",6348
"Three dependent children","Tāmaki Makaurau","One parent with child(ren)",3768
"Four or more dependent children","Tāmaki Makaurau","One parent with child(ren)",3570
"Number of dependent children unknown","Tāmaki Makaurau","One parent with child(ren)",213
"No dependent children(3)","Te Tai Hauāuru","One parent with child(ren)",3114
"One dependent child","Te Tai Hauāuru","One parent with child(ren)",7671
"Two dependent children","Te Tai Hauāuru","One parent with child(ren)",7077
"Three dependent children","Te Tai Hauāuru","One parent with child(ren)",3891
"Four or more dependent children","Te Tai Hauāuru","One parent with child(ren)",3018
"Number of dependent children unknown","Te Tai Hauāuru","One parent with child(ren)",240
"No dependent children(3)","Te Tai Tokerau","One parent with child(ren)",3549
"One dependent child","Te Tai Tokerau","One parent with child(ren)",7218
"Two dependent children","Te Tai Tokerau","One parent with child(ren)",6750
"Three dependent children","Te Tai Tokerau","One parent with child(ren)",3825
"Four or more dependent children","Te Tai Tokerau","One parent with child(ren)",2946
"Number of dependent children unknown","Te Tai Tokerau","One parent with child(ren)",297
"No dependent children(3)","Te Tai Tonga","One parent with child(ren)",3429
"One dependent child","Te Tai Tonga","One parent with child(ren)",8391
"Two dependent children","Te Tai Tonga","One parent with child(ren)",6657
"Three dependent children","Te Tai Tonga","One parent with child(ren)",3378
"Four or more dependent children","Te Tai Tonga","One parent with child(ren)",1674
"Number of dependent children unknown","Te Tai Tonga","One parent with child(ren)",201
"No dependent children(3)","Waiariki","One parent with child(ren)",2997
"One dependent child","Waiariki","One parent with child(ren)",6942
"Two dependent children","Waiariki","One parent with child(ren)",6114
"Three dependent children","Waiariki","One parent with child(ren)",3780
"Four or more dependent children","Waiariki","One parent with child(ren)",2946
"Number of dependent children unknown","Waiariki","One parent with child(ren)",234
"No dependent children(3)","Area Outside Māori Electorate","One parent with child(ren)",NA
"One dependent child","Area Outside Māori Electorate","One parent with child(ren)",NA
"Two dependent children","Area Outside Māori Electorate","One parent with child(ren)",NA
"Three dependent children","Area Outside Māori Electorate","One parent with child(ren)",NA
"Four or more dependent children","Area Outside Māori Electorate","One parent with child(ren)",NA
"Number of dependent children unknown","Area Outside Māori Electorate","One parent with child(ren)",NA
