"level0","level1","level2","Family type and number of dependent children in family(1)","count"
"Two dependent children","New Plymouth","North Island general electorates","One parent with child(ren)",2448
"Three dependent children","New Plymouth","North Island general electorates","One parent with child(ren)",1035
"Four or more dependent children","New Plymouth","North Island general electorates","One parent with child(ren)",555
"Number of dependent children unknown","New Plymouth","North Island general electorates","One parent with child(ren)",195
"No dependent children(3)","North Shore","North Island general electorates","One parent with child(ren)",1998
"One dependent child","North Shore","North Island general electorates","One parent with child(ren)",2043
"Two dependent children","North Shore","North Island general electorates","One parent with child(ren)",1602
"Three dependent children","North Shore","North Island general electorates","One parent with child(ren)",402
"Four or more dependent children","North Shore","North Island general electorates","One parent with child(ren)",126
"Number of dependent children unknown","North Shore","North Island general electorates","One parent with child(ren)",120
"No dependent children(3)","Northcote","North Island general electorates","One parent with child(ren)",2397
"One dependent child","Northcote","North Island general electorates","One parent with child(ren)",2226
"Two dependent children","Northcote","North Island general electorates","One parent with child(ren)",1671
"Three dependent children","Northcote","North Island general electorates","One parent with child(ren)",627
"Four or more dependent children","Northcote","North Island general electorates","One parent with child(ren)",366
"Number of dependent children unknown","Northcote","North Island general electorates","One parent with child(ren)",132
"No dependent children(3)","Northland","North Island general electorates","One parent with child(ren)",2193
"One dependent child","Northland","North Island general electorates","One parent with child(ren)",3630
"Two dependent children","Northland","North Island general electorates","One parent with child(ren)",3318
"Three dependent children","Northland","North Island general electorates","One parent with child(ren)",1782
"Four or more dependent children","Northland","North Island general electorates","One parent with child(ren)",1569
"Number of dependent children unknown","Northland","North Island general electorates","One parent with child(ren)",330
"No dependent children(3)","Ohariu","North Island general electorates","One parent with child(ren)",1569
"One dependent child","Ohariu","North Island general electorates","One parent with child(ren)",1839
"Two dependent children","Ohariu","North Island general electorates","One parent with child(ren)",1350
"Three dependent children","Ohariu","North Island general electorates","One parent with child(ren)",411
"Four or more dependent children","Ohariu","North Island general electorates","One parent with child(ren)",123
"Number of dependent children unknown","Ohariu","North Island general electorates","One parent with child(ren)",120
"No dependent children(3)","Otaki","North Island general electorates","One parent with child(ren)",1698
"One dependent child","Otaki","North Island general electorates","One parent with child(ren)",2643
"Two dependent children","Otaki","North Island general electorates","One parent with child(ren)",2346
"Three dependent children","Otaki","North Island general electorates","One parent with child(ren)",1065
"Four or more dependent children","Otaki","North Island general electorates","One parent with child(ren)",627
"Number of dependent children unknown","Otaki","North Island general electorates","One parent with child(ren)",147
"No dependent children(3)","Pakuranga","North Island general electorates","One parent with child(ren)",2157
"One dependent child","Pakuranga","North Island general electorates","One parent with child(ren)",2214
"Two dependent children","Pakuranga","North Island general electorates","One parent with child(ren)",1758
"Three dependent children","Pakuranga","North Island general electorates","One parent with child(ren)",516
"Four or more dependent children","Pakuranga","North Island general electorates","One parent with child(ren)",225
"Number of dependent children unknown","Pakuranga","North Island general electorates","One parent with child(ren)",57
"No dependent children(3)","Palmerston North","North Island general electorates","One parent with child(ren)",1911
"One dependent child","Palmerston North","North Island general electorates","One parent with child(ren)",3135
"Two dependent children","Palmerston North","North Island general electorates","One parent with child(ren)",2571
"Three dependent children","Palmerston North","North Island general electorates","One parent with child(ren)",1158
"Four or more dependent children","Palmerston North","North Island general electorates","One parent with child(ren)",663
"Number of dependent children unknown","Palmerston North","North Island general electorates","One parent with child(ren)",117
"No dependent children(3)","Papakura","North Island general electorates","One parent with child(ren)",2586
"One dependent child","Papakura","North Island general electorates","One parent with child(ren)",3621
"Two dependent children","Papakura","North Island general electorates","One parent with child(ren)",3177
"Three dependent children","Papakura","North Island general electorates","One parent with child(ren)",1812
"Four or more dependent children","Papakura","North Island general electorates","One parent with child(ren)",1647
"Number of dependent children unknown","Papakura","North Island general electorates","One parent with child(ren)",150
"No dependent children(3)","Rangitikei","North Island general electorates","One parent with child(ren)",1521
"One dependent child","Rangitikei","North Island general electorates","One parent with child(ren)",2400
"Two dependent children","Rangitikei","North Island general electorates","One parent with child(ren)",2037
"Three dependent children","Rangitikei","North Island general electorates","One parent with child(ren)",1038
"Four or more dependent children","Rangitikei","North Island general electorates","One parent with child(ren)",861
"Number of dependent children unknown","Rangitikei","North Island general electorates","One parent with child(ren)",147
"No dependent children(3)","Rimutaka","North Island general electorates","One parent with child(ren)",2475
"One dependent child","Rimutaka","North Island general electorates","One parent with child(ren)",3399
"Two dependent children","Rimutaka","North Island general electorates","One parent with child(ren)",2628
"Three dependent children","Rimutaka","North Island general electorates","One parent with child(ren)",1194
"Four or more dependent children","Rimutaka","North Island general electorates","One parent with child(ren)",744
"Number of dependent children unknown","Rimutaka","North Island general electorates","One parent with child(ren)",198
"No dependent children(3)","Rodney","North Island general electorates","One parent with child(ren)",1518
"One dependent child","Rodney","North Island general electorates","One parent with child(ren)",2115
"Two dependent children","Rodney","North Island general electorates","One parent with child(ren)",1764
"Three dependent children","Rodney","North Island general electorates","One parent with child(ren)",633
"Four or more dependent children","Rodney","North Island general electorates","One parent with child(ren)",189
"Number of dependent children unknown","Rodney","North Island general electorates","One parent with child(ren)",96
"No dependent children(3)","Rongotai","North Island general electorates","One parent with child(ren)",1947
"One dependent child","Rongotai","North Island general electorates","One parent with child(ren)",2211
"Two dependent children","Rongotai","North Island general electorates","One parent with child(ren)",1443
"Three dependent children","Rongotai","North Island general electorates","One parent with child(ren)",546
"Four or more dependent children","Rongotai","North Island general electorates","One parent with child(ren)",183
"Number of dependent children unknown","Rongotai","North Island general electorates","One parent with child(ren)",129
"No dependent children(3)","Rotorua","North Island general electorates","One parent with child(ren)",2190
"One dependent child","Rotorua","North Island general electorates","One parent with child(ren)",4089
"Two dependent children","Rotorua","North Island general electorates","One parent with child(ren)",3363
"Three dependent children","Rotorua","North Island general electorates","One parent with child(ren)",1884
"Four or more dependent children","Rotorua","North Island general electorates","One parent with child(ren)",1296
"Number of dependent children unknown","Rotorua","North Island general electorates","One parent with child(ren)",246
"No dependent children(3)","Tamaki","North Island general electorates","One parent with child(ren)",2052
"One dependent child","Tamaki","North Island general electorates","One parent with child(ren)",1728
"Two dependent children","Tamaki","North Island general electorates","One parent with child(ren)",1422
"Three dependent children","Tamaki","North Island general electorates","One parent with child(ren)",564
"Four or more dependent children","Tamaki","North Island general electorates","One parent with child(ren)",372
"Number of dependent children unknown","Tamaki","North Island general electorates","One parent with child(ren)",102
"No dependent children(3)","Taranaki-King Country","North Island general electorates","One parent with child(ren)",1479
"One dependent child","Taranaki-King Country","North Island general electorates","One parent with child(ren)",2388
"Two dependent children","Taranaki-King Country","North Island general electorates","One parent with child(ren)",2064
"Three dependent children","Taranaki-King Country","North Island general electorates","One parent with child(ren)",1095
"Four or more dependent children","Taranaki-King Country","North Island general electorates","One parent with child(ren)",600
"Number of dependent children unknown","Taranaki-King Country","North Island general electorates","One parent with child(ren)",222
"No dependent children(3)","Taupo","North Island general electorates","One parent with child(ren)",1779
"One dependent child","Taupo","North Island general electorates","One parent with child(ren)",3147
"Two dependent children","Taupo","North Island general electorates","One parent with child(ren)",2763
"Three dependent children","Taupo","North Island general electorates","One parent with child(ren)",1416
"Four or more dependent children","Taupo","North Island general electorates","One parent with child(ren)",900
"Number of dependent children unknown","Taupo","North Island general electorates","One parent with child(ren)",222
"No dependent children(3)","Tauranga","North Island general electorates","One parent with child(ren)",1725
"One dependent child","Tauranga","North Island general electorates","One parent with child(ren)",2916
"Two dependent children","Tauranga","North Island general electorates","One parent with child(ren)",2361
"Three dependent children","Tauranga","North Island general electorates","One parent with child(ren)",966
"Four or more dependent children","Tauranga","North Island general electorates","One parent with child(ren)",588
"Number of dependent children unknown","Tauranga","North Island general electorates","One parent with child(ren)",165
"No dependent children(3)","Te Atatu","North Island general electorates","One parent with child(ren)",2826
"One dependent child","Te Atatu","North Island general electorates","One parent with child(ren)",3276
"Two dependent children","Te Atatu","North Island general electorates","One parent with child(ren)",2718
"Three dependent children","Te Atatu","North Island general electorates","One parent with child(ren)",1098
"Four or more dependent children","Te Atatu","North Island general electorates","One parent with child(ren)",912
"Number of dependent children unknown","Te Atatu","North Island general electorates","One parent with child(ren)",192
"No dependent children(3)","Tukituki","North Island general electorates","One parent with child(ren)",2079
"One dependent child","Tukituki","North Island general electorates","One parent with child(ren)",3366
"Two dependent children","Tukituki","North Island general electorates","One parent with child(ren)",2877
"Three dependent children","Tukituki","North Island general electorates","One parent with child(ren)",1656
"Four or more dependent children","Tukituki","North Island general electorates","One parent with child(ren)",1266
"Number of dependent children unknown","Tukituki","North Island general electorates","One parent with child(ren)",249
"No dependent children(3)","Upper Harbour","North Island general electorates","One parent with child(ren)",2361
"One dependent child","Upper Harbour","North Island general electorates","One parent with child(ren)",2655
"Two dependent children","Upper Harbour","North Island general electorates","One parent with child(ren)",2205
"Three dependent children","Upper Harbour","North Island general electorates","One parent with child(ren)",924
"Four or more dependent children","Upper Harbour","North Island general electorates","One parent with child(ren)",606
"Number of dependent children unknown","Upper Harbour","North Island general electorates","One parent with child(ren)",87
"No dependent children(3)","Waikato","North Island general electorates","One parent with child(ren)",1764
"One dependent child","Waikato","North Island general electorates","One parent with child(ren)",2643
"Two dependent children","Waikato","North Island general electorates","One parent with child(ren)",2649
"Three dependent children","Waikato","North Island general electorates","One parent with child(ren)",1497
"Four or more dependent children","Waikato","North Island general electorates","One parent with child(ren)",1119
"Number of dependent children unknown","Waikato","North Island general electorates","One parent with child(ren)",195
"No dependent children(3)","Wairarapa","North Island general electorates","One parent with child(ren)",1575
"One dependent child","Wairarapa","North Island general electorates","One parent with child(ren)",2634
"Two dependent children","Wairarapa","North Island general electorates","One parent with child(ren)",2220
"Three dependent children","Wairarapa","North Island general electorates","One parent with child(ren)",1101
"Four or more dependent children","Wairarapa","North Island general electorates","One parent with child(ren)",603
"Number of dependent children unknown","Wairarapa","North Island general electorates","One parent with child(ren)",210
"No dependent children(3)","Wellington Central","North Island general electorates","One parent with child(ren)",1119
"One dependent child","Wellington Central","North Island general electorates","One parent with child(ren)",1293
"Two dependent children","Wellington Central","North Island general electorates","One parent with child(ren)",753
"Three dependent children","Wellington Central","North Island general electorates","One parent with child(ren)",297
"Four or more dependent children","Wellington Central","North Island general electorates","One parent with child(ren)",72
"Number of dependent children unknown","Wellington Central","North Island general electorates","One parent with child(ren)",78
"No dependent children(3)","Whanganui","North Island general electorates","One parent with child(ren)",2055
"One dependent child","Whanganui","North Island general electorates","One parent with child(ren)",3486
"Two dependent children","Whanganui","North Island general electorates","One parent with child(ren)",2952
"Three dependent children","Whanganui","North Island general electorates","One parent with child(ren)",1554
"Four or more dependent children","Whanganui","North Island general electorates","One parent with child(ren)",837
"Number of dependent children unknown","Whanganui","North Island general electorates","One parent with child(ren)",192
"No dependent children(3)","Whangarei","North Island general electorates","One parent with child(ren)",2061
"One dependent child","Whangarei","North Island general electorates","One parent with child(ren)",3360
"Two dependent children","Whangarei","North Island general electorates","One parent with child(ren)",2919
"Three dependent children","Whangarei","North Island general electorates","One parent with child(ren)",1662
"Four or more dependent children","Whangarei","North Island general electorates","One parent with child(ren)",1035
"Number of dependent children unknown","Whangarei","North Island general electorates","One parent with child(ren)",279
"No dependent children(3)","Christchurch Central","South Island general electorates","One parent with child(ren)",2043
"One dependent child","Christchurch Central","South Island general electorates","One parent with child(ren)",2892
"Two dependent children","Christchurch Central","South Island general electorates","One parent with child(ren)",2040
"Three dependent children","Christchurch Central","South Island general electorates","One parent with child(ren)",684
"Four or more dependent children","Christchurch Central","South Island general electorates","One parent with child(ren)",288
"Number of dependent children unknown","Christchurch Central","South Island general electorates","One parent with child(ren)",114
"No dependent children(3)","Christchurch East","South Island general electorates","One parent with child(ren)",2508
"One dependent child","Christchurch East","South Island general electorates","One parent with child(ren)",3003
"Two dependent children","Christchurch East","South Island general electorates","One parent with child(ren)",2352
"Three dependent children","Christchurch East","South Island general electorates","One parent with child(ren)",912
"Four or more dependent children","Christchurch East","South Island general electorates","One parent with child(ren)",468
"Number of dependent children unknown","Christchurch East","South Island general electorates","One parent with child(ren)",171
"No dependent children(3)","Clutha-Southland","South Island general electorates","One parent with child(ren)",840
"One dependent child","Clutha-Southland","South Island general electorates","One parent with child(ren)",1422
"Two dependent children","Clutha-Southland","South Island general electorates","One parent with child(ren)",1251
"Three dependent children","Clutha-Southland","South Island general electorates","One parent with child(ren)",486
"Four or more dependent children","Clutha-Southland","South Island general electorates","One parent with child(ren)",243
"Number of dependent children unknown","Clutha-Southland","South Island general electorates","One parent with child(ren)",108
"No dependent children(3)","Dunedin North","South Island general electorates","One parent with child(ren)",1329
"One dependent child","Dunedin North","South Island general electorates","One parent with child(ren)",1809
"Two dependent children","Dunedin North","South Island general electorates","One parent with child(ren)",1353
"Three dependent children","Dunedin North","South Island general electorates","One parent with child(ren)",480
"Four or more dependent children","Dunedin North","South Island general electorates","One parent with child(ren)",240
"Number of dependent children unknown","Dunedin North","South Island general electorates","One parent with child(ren)",87
"No dependent children(3)","Dunedin South","South Island general electorates","One parent with child(ren)",1641
"One dependent child","Dunedin South","South Island general electorates","One parent with child(ren)",2247
"Two dependent children","Dunedin South","South Island general electorates","One parent with child(ren)",1824
"Three dependent children","Dunedin South","South Island general electorates","One parent with child(ren)",684
"Four or more dependent children","Dunedin South","South Island general electorates","One parent with child(ren)",309
"Number of dependent children unknown","Dunedin South","South Island general electorates","One parent with child(ren)",102
"No dependent children(3)","Ilam","South Island general electorates","One parent with child(ren)",1824
"One dependent child","Ilam","South Island general electorates","One parent with child(ren)",2040
"Two dependent children","Ilam","South Island general electorates","One parent with child(ren)",1545
"Three dependent children","Ilam","South Island general electorates","One parent with child(ren)",594
"Four or more dependent children","Ilam","South Island general electorates","One parent with child(ren)",195
"Number of dependent children unknown","Ilam","South Island general electorates","One parent with child(ren)",114
"No dependent children(3)","Invercargill","South Island general electorates","One parent with child(ren)",1497
"One dependent child","Invercargill","South Island general electorates","One parent with child(ren)",2673
"Two dependent children","Invercargill","South Island general electorates","One parent with child(ren)",2049
"Three dependent children","Invercargill","South Island general electorates","One parent with child(ren)",882
"Four or more dependent children","Invercargill","South Island general electorates","One parent with child(ren)",426
"Number of dependent children unknown","Invercargill","South Island general electorates","One parent with child(ren)",102
"No dependent children(3)","Kaikoura","South Island general electorates","One parent with child(ren)",1140
"One dependent child","Kaikoura","South Island general electorates","One parent with child(ren)",1863
"Two dependent children","Kaikoura","South Island general electorates","One parent with child(ren)",1524
"Three dependent children","Kaikoura","South Island general electorates","One parent with child(ren)",648
"Four or more dependent children","Kaikoura","South Island general electorates","One parent with child(ren)",264
"Number of dependent children unknown","Kaikoura","South Island general electorates","One parent with child(ren)",84
"No dependent children(3)","Nelson","South Island general electorates","One parent with child(ren)",1539
"One dependent child","Nelson","South Island general electorates","One parent with child(ren)",2523
"Two dependent children","Nelson","South Island general electorates","One parent with child(ren)",2202
"Three dependent children","Nelson","South Island general electorates","One parent with child(ren)",882
"Four or more dependent children","Nelson","South Island general electorates","One parent with child(ren)",306
"Number of dependent children unknown","Nelson","South Island general electorates","One parent with child(ren)",111
"No dependent children(3)","Port Hills","South Island general electorates","One parent with child(ren)",1869
"One dependent child","Port Hills","South Island general electorates","One parent with child(ren)",2109
"Two dependent children","Port Hills","South Island general electorates","One parent with child(ren)",1695
"Three dependent children","Port Hills","South Island general electorates","One parent with child(ren)",600
"Four or more dependent children","Port Hills","South Island general electorates","One parent with child(ren)",189
"Number of dependent children unknown","Port Hills","South Island general electorates","One parent with child(ren)",102
"No dependent children(3)","Rangitata","South Island general electorates","One parent with child(ren)",1338
"One dependent child","Rangitata","South Island general electorates","One parent with child(ren)",1944
"Two dependent children","Rangitata","South Island general electorates","One parent with child(ren)",1779
"Three dependent children","Rangitata","South Island general electorates","One parent with child(ren)",657
"Four or more dependent children","Rangitata","South Island general electorates","One parent with child(ren)",303
"Number of dependent children unknown","Rangitata","South Island general electorates","One parent with child(ren)",126
"No dependent children(3)","Selwyn","South Island general electorates","One parent with child(ren)",870
"One dependent child","Selwyn","South Island general electorates","One parent with child(ren)",1098
"Two dependent children","Selwyn","South Island general electorates","One parent with child(ren)",1125
"Three dependent children","Selwyn","South Island general electorates","One parent with child(ren)",276
"Four or more dependent children","Selwyn","South Island general electorates","One parent with child(ren)",162
"Number of dependent children unknown","Selwyn","South Island general electorates","One parent with child(ren)",96
"No dependent children(3)","Waimakariri","South Island general electorates","One parent with child(ren)",1374
"One dependent child","Waimakariri","South Island general electorates","One parent with child(ren)",1515
"Two dependent children","Waimakariri","South Island general electorates","One parent with child(ren)",1554
"Three dependent children","Waimakariri","South Island general electorates","One parent with child(ren)",576
"Four or more dependent children","Waimakariri","South Island general electorates","One parent with child(ren)",192
"Number of dependent children unknown","Waimakariri","South Island general electorates","One parent with child(ren)",72
"No dependent children(3)","Waitaki","South Island general electorates","One parent with child(ren)",1065
"One dependent child","Waitaki","South Island general electorates","One parent with child(ren)",1584
"Two dependent children","Waitaki","South Island general electorates","One parent with child(ren)",1320
"Three dependent children","Waitaki","South Island general electorates","One parent with child(ren)",534
"Four or more dependent children","Waitaki","South Island general electorates","One parent with child(ren)",231
"Number of dependent children unknown","Waitaki","South Island general electorates","One parent with child(ren)",132
"No dependent children(3)","West Coast-Tasman","South Island general electorates","One parent with child(ren)",1194
"One dependent child","West Coast-Tasman","South Island general electorates","One parent with child(ren)",1851
"Two dependent children","West Coast-Tasman","South Island general electorates","One parent with child(ren)",1608
"Three dependent children","West Coast-Tasman","South Island general electorates","One parent with child(ren)",684
"Four or more dependent children","West Coast-Tasman","South Island general electorates","One parent with child(ren)",192
"Number of dependent children unknown","West Coast-Tasman","South Island general electorates","One parent with child(ren)",96
"No dependent children(3)","Wigram","South Island general electorates","One parent with child(ren)",2058
"One dependent child","Wigram","South Island general electorates","One parent with child(ren)",2412
"Two dependent children","Wigram","South Island general electorates","One parent with child(ren)",1566
"Three dependent children","Wigram","South Island general electorates","One parent with child(ren)",600
"Four or more dependent children","Wigram","South Island general electorates","One parent with child(ren)",336
"Number of dependent children unknown","Wigram","South Island general electorates","One parent with child(ren)",87
"No dependent children(3)","Area Outside General Electorate","South Island general electorates","One parent with child(ren)",NA
"One dependent child","Area Outside General Electorate","South Island general electorates","One parent with child(ren)",NA
"Two dependent children","Area Outside General Electorate","South Island general electorates","One parent with child(ren)",NA
"Three dependent children","Area Outside General Electorate","South Island general electorates","One parent with child(ren)",NA
"Four or more dependent children","Area Outside General Electorate","South Island general electorates","One parent with child(ren)",NA
"Number of dependent children unknown","Area Outside General Electorate","South Island general electorates","One parent with child(ren)",NA
