"level0","level1","Household composition","count"
"Auckland Central","North Island general electorates","One-family household (with or without other people)",31926
"Bay of Plenty","North Island general electorates","One-family household (with or without other people)",51453
"Botany","North Island general electorates","One-family household (with or without other people)",49053
"Coromandel","North Island general electorates","One-family household (with or without other people)",50619
"East Coast","North Island general electorates","One-family household (with or without other people)",70035
"East Coast Bays","North Island general electorates","One-family household (with or without other people)",47475
"Epsom","North Island general electorates","One-family household (with or without other people)",46173
"Hamilton East","North Island general electorates","One-family household (with or without other people)",50940
"Hamilton West","North Island general electorates","One-family household (with or without other people)",52701
"Helensville","North Island general electorates","One-family household (with or without other people)",48024
"Hunua","North Island general electorates","One-family household (with or without other people)",50979
"Hutt South","North Island general electorates","One-family household (with or without other people)",53670
"Kelston","North Island general electorates","One-family household (with or without other people)",45354
"Mana","North Island general electorates","One-family household (with or without other people)",52671
"Mangere","North Island general electorates","One-family household (with or without other people)",39888
"Manukau East","North Island general electorates","One-family household (with or without other people)",41307
"Manurewa","North Island general electorates","One-family household (with or without other people)",47766
"Maungakiekie","North Island general electorates","One-family household (with or without other people)",46551
"Mt Albert","North Island general electorates","One-family household (with or without other people)",44640
"Mt Roskill","North Island general electorates","One-family household (with or without other people)",44610
"Napier","North Island general electorates","One-family household (with or without other people)",53382
"New Lynn","North Island general electorates","One-family household (with or without other people)",44025
"New Plymouth","North Island general electorates","One-family household (with or without other people)",52614
"North Shore","North Island general electorates","One-family household (with or without other people)",51282
"Northcote","North Island general electorates","One-family household (with or without other people)",49113
"Northland","North Island general electorates","One-family household (with or without other people)",60930
"Ohariu","North Island general electorates","One-family household (with or without other people)",49074
"Otaki","North Island general electorates","One-family household (with or without other people)",47976
"Pakuranga","North Island general electorates","One-family household (with or without other people)",48675
"Palmerston North","North Island general electorates","One-family household (with or without other people)",47580
"Papakura","North Island general electorates","One-family household (with or without other people)",53964
"Rangitikei","North Island general electorates","One-family household (with or without other people)",53151
"Rimutaka","North Island general electorates","One-family household (with or without other people)",52140
"Rodney","North Island general electorates","One-family household (with or without other people)",49368
"Rongotai","North Island general electorates","One-family household (with or without other people)",45702
"Rotorua","North Island general electorates","One-family household (with or without other people)",57027
"Tamaki","North Island general electorates","One-family household (with or without other people)",46143
"Taranaki-King Country","North Island general electorates","One-family household (with or without other people)",53730
"Taupo","North Island general electorates","One-family household (with or without other people)",57612
"Tauranga","North Island general electorates","One-family household (with or without other people)",47718
"Te Atatu","North Island general electorates","One-family household (with or without other people)",49443
"Tukituki","North Island general electorates","One-family household (with or without other people)",54846
"Upper Harbour","North Island general electorates","One-family household (with or without other people)",50835
"Waikato","North Island general electorates","One-family household (with or without other people)",57909
"Wairarapa","North Island general electorates","One-family household (with or without other people)",51933
"Wellington Central","North Island general electorates","One-family household (with or without other people)",37266
"Whanganui","North Island general electorates","One-family household (with or without other people)",53664
"Whangarei","North Island general electorates","One-family household (with or without other people)",55035
"Christchurch Central","South Island general electorates","One-family household (with or without other people)",43755
"Christchurch East","South Island general electorates","One-family household (with or without other people)",48132
"Clutha-Southland","South Island general electorates","One-family household (with or without other people)",50715
"Dunedin North","South Island general electorates","One-family household (with or without other people)",36861
"Dunedin South","South Island general electorates","One-family household (with or without other people)",47178
"Ilam","South Island general electorates","One-family household (with or without other people)",45144
"Invercargill","South Island general electorates","One-family household (with or without other people)",49518
"Kaikoura","South Island general electorates","One-family household (with or without other people)",49563
"Nelson","South Island general electorates","One-family household (with or without other people)",49071
"Port Hills","South Island general electorates","One-family household (with or without other people)",50097
"Rangitata","South Island general electorates","One-family household (with or without other people)",50211
"Selwyn","South Island general electorates","One-family household (with or without other people)",48396
"Waimakariri","South Island general electorates","One-family household (with or without other people)",48729
"Waitaki","South Island general electorates","One-family household (with or without other people)",50979
"West Coast-Tasman","South Island general electorates","One-family household (with or without other people)",47550
"Wigram","South Island general electorates","One-family household (with or without other people)",40632
"Area Outside General Electorate","South Island general electorates","One-family household (with or without other people)",NA
"Auckland Central","North Island general electorates","Two-family household (with or without other people)",1533
"Bay of Plenty","North Island general electorates","Two-family household (with or without other people)",3390
"Botany","North Island general electorates","Two-family household (with or without other people)",8826
"Coromandel","North Island general electorates","Two-family household (with or without other people)",2148
"East Coast","North Island general electorates","Two-family household (with or without other people)",6489
"East Coast Bays","North Island general electorates","Two-family household (with or without other people)",4950
"Epsom","North Island general electorates","Two-family household (with or without other people)",2961
"Hamilton East","North Island general electorates","Two-family household (with or without other people)",4356
"Hamilton West","North Island general electorates","Two-family household (with or without other people)",4779
"Helensville","North Island general electorates","Two-family household (with or without other people)",3771
"Hunua","North Island general electorates","Two-family household (with or without other people)",5166
"Hutt South","North Island general electorates","Two-family household (with or without other people)",4035
"Kelston","North Island general electorates","Two-family household (with or without other people)",7392
"Mana","North Island general electorates","Two-family household (with or without other people)",5910
"Mangere","North Island general electorates","Two-family household (with or without other people)",14958
"Manukau East","North Island general electorates","Two-family household (with or without other people)",12453
"Manurewa","North Island general electorates","Two-family household (with or without other people)",13077
"Maungakiekie","North Island general electorates","Two-family household (with or without other people)",6849
"Mt Albert","North Island general electorates","Two-family household (with or without other people)",3780
"Mt Roskill","North Island general electorates","Two-family household (with or without other people)",6633
"Napier","North Island general electorates","Two-family household (with or without other people)",3063
"New Lynn","North Island general electorates","Two-family household (with or without other people)",7323
"New Plymouth","North Island general electorates","Two-family household (with or without other people)",2517
"North Shore","North Island general electorates","Two-family household (with or without other people)",3531
"Northcote","North Island general electorates","Two-family household (with or without other people)",5001
"Northland","North Island general electorates","Two-family household (with or without other people)",4503
"Ohariu","North Island general electorates","Two-family household (with or without other people)",3072
"Otaki","North Island general electorates","Two-family household (with or without other people)",2334
"Pakuranga","North Island general electorates","Two-family household (with or without other people)",6159
"Palmerston North","North Island general electorates","Two-family household (with or without other people)",2745
"Papakura","North Island general electorates","Two-family household (with or without other people)",8496
"Rangitikei","North Island general electorates","Two-family household (with or without other people)",2421
"Rimutaka","North Island general electorates","Two-family household (with or without other people)",4101
"Rodney","North Island general electorates","Two-family household (with or without other people)",2922
"Rongotai","North Island general electorates","Two-family household (with or without other people)",3162
"Rotorua","North Island general electorates","Two-family household (with or without other people)",4686
"Tamaki","North Island general electorates","Two-family household (with or without other people)",3423
"Taranaki-King Country","North Island general electorates","Two-family household (with or without other people)",2730
"Taupo","North Island general electorates","Two-family household (with or without other people)",3177
"Tauranga","North Island general electorates","Two-family household (with or without other people)",2781
"Te Atatu","North Island general electorates","Two-family household (with or without other people)",8091
"Tukituki","North Island general electorates","Two-family household (with or without other people)",4449
"Upper Harbour","North Island general electorates","Two-family household (with or without other people)",7146
"Waikato","North Island general electorates","Two-family household (with or without other people)",3933
"Wairarapa","North Island general electorates","Two-family household (with or without other people)",1974
"Wellington Central","North Island general electorates","Two-family household (with or without other people)",1869
"Whanganui","North Island general electorates","Two-family household (with or without other people)",2598
"Whangarei","North Island general electorates","Two-family household (with or without other people)",3360
"Christchurch Central","South Island general electorates","Two-family household (with or without other people)",2322
"Christchurch East","South Island general electorates","Two-family household (with or without other people)",3513
"Clutha-Southland","South Island general electorates","Two-family household (with or without other people)",1302
"Dunedin North","South Island general electorates","Two-family household (with or without other people)",1380
"Dunedin South","South Island general electorates","Two-family household (with or without other people)",1728
"Ilam","South Island general electorates","Two-family household (with or without other people)",2682
"Invercargill","South Island general electorates","Two-family household (with or without other people)",1548
"Kaikoura","South Island general electorates","Two-family household (with or without other people)",1881
"Nelson","South Island general electorates","Two-family household (with or without other people)",2187
"Port Hills","South Island general electorates","Two-family household (with or without other people)",2538
"Rangitata","South Island general electorates","Two-family household (with or without other people)",1779
"Selwyn","South Island general electorates","Two-family household (with or without other people)",2328
"Waimakariri","South Island general electorates","Two-family household (with or without other people)",2418
"Waitaki","South Island general electorates","Two-family household (with or without other people)",1185
"West Coast-Tasman","South Island general electorates","Two-family household (with or without other people)",1581
"Wigram","South Island general electorates","Two-family household (with or without other people)",3813
"Area Outside General Electorate","South Island general electorates","Two-family household (with or without other people)",NA
"Auckland Central","North Island general electorates","Three or more family household (with or without other people)",123
"Bay of Plenty","North Island general electorates","Three or more family household (with or without other people)",288
"Botany","North Island general electorates","Three or more family household (with or without other people)",1263
"Coromandel","North Island general electorates","Three or more family household (with or without other people)",174
"East Coast","North Island general electorates","Three or more family household (with or without other people)",519
"East Coast Bays","North Island general electorates","Three or more family household (with or without other people)",579
"Epsom","North Island general electorates","Three or more family household (with or without other people)",279
"Hamilton East","North Island general electorates","Three or more family household (with or without other people)",474
"Hamilton West","North Island general electorates","Three or more family household (with or without other people)",480
"Helensville","North Island general electorates","Three or more family household (with or without other people)",216
"Hunua","North Island general electorates","Three or more family household (with or without other people)",669
"Hutt South","North Island general electorates","Three or more family household (with or without other people)",258
"Kelston","North Island general electorates","Three or more family household (with or without other people)",1122
"Mana","North Island general electorates","Three or more family household (with or without other people)",672
"Mangere","North Island general electorates","Three or more family household (with or without other people)",4119
"Manukau East","North Island general electorates","Three or more family household (with or without other people)",2523
"Manurewa","North Island general electorates","Three or more family household (with or without other people)",2583
"Maungakiekie","North Island general electorates","Three or more family household (with or without other people)",1017
"Mt Albert","North Island general electorates","Three or more family household (with or without other people)",597
"Mt Roskill","North Island general electorates","Three or more family household (with or without other people)",957
"Napier","North Island general electorates","Three or more family household (with or without other people)",177
"New Lynn","North Island general electorates","Three or more family household (with or without other people)",810
"New Plymouth","North Island general electorates","Three or more family household (with or without other people)",132
"North Shore","North Island general electorates","Three or more family household (with or without other people)",237
"Northcote","North Island general electorates","Three or more family household (with or without other people)",543
"Northland","North Island general electorates","Three or more family household (with or without other people)",426
"Ohariu","North Island general electorates","Three or more family household (with or without other people)",210
"Otaki","North Island general electorates","Three or more family household (with or without other people)",138
"Pakuranga","North Island general electorates","Three or more family household (with or without other people)",645
"Palmerston North","North Island general electorates","Three or more family household (with or without other people)",195
"Papakura","North Island general electorates","Three or more family household (with or without other people)",1233
"Rangitikei","North Island general electorates","Three or more family household (with or without other people)",216
"Rimutaka","North Island general electorates","Three or more family household (with or without other people)",360
"Rodney","North Island general electorates","Three or more family household (with or without other people)",213
"Rongotai","North Island general electorates","Three or more family household (with or without other people)",309
"Rotorua","North Island general electorates","Three or more family household (with or without other people)",471
"Tamaki","North Island general electorates","Three or more family household (with or without other people)",288
"Taranaki-King Country","North Island general electorates","Three or more family household (with or without other people)",261
"Taupo","North Island general electorates","Three or more family household (with or without other people)",153
"Tauranga","North Island general electorates","Three or more family household (with or without other people)",261
"Te Atatu","North Island general electorates","Three or more family household (with or without other people)",1224
"Tukituki","North Island general electorates","Three or more family household (with or without other people)",480
"Upper Harbour","North Island general electorates","Three or more family household (with or without other people)",864
"Waikato","North Island general electorates","Three or more family household (with or without other people)",336
"Wairarapa","North Island general electorates","Three or more family household (with or without other people)",84
"Wellington Central","North Island general electorates","Three or more family household (with or without other people)",99
"Whanganui","North Island general electorates","Three or more family household (with or without other people)",156
"Whangarei","North Island general electorates","Three or more family household (with or without other people)",255
"Christchurch Central","South Island general electorates","Three or more family household (with or without other people)",222
"Christchurch East","South Island general electorates","Three or more family household (with or without other people)",267
"Clutha-Southland","South Island general electorates","Three or more family household (with or without other people)",42
"Dunedin North","South Island general electorates","Three or more family household (with or without other people)",81
"Dunedin South","South Island general electorates","Three or more family household (with or without other people)",39
"Ilam","South Island general electorates","Three or more family household (with or without other people)",165
"Invercargill","South Island general electorates","Three or more family household (with or without other people)",21
"Kaikoura","South Island general electorates","Three or more family household (with or without other people)",129
"Nelson","South Island general electorates","Three or more family household (with or without other people)",141
"Port Hills","South Island general electorates","Three or more family household (with or without other people)",246
"Rangitata","South Island general electorates","Three or more family household (with or without other people)",123
"Selwyn","South Island general electorates","Three or more family household (with or without other people)",177
"Waimakariri","South Island general electorates","Three or more family household (with or without other people)",69
"Waitaki","South Island general electorates","Three or more family household (with or without other people)",54
"West Coast-Tasman","South Island general electorates","Three or more family household (with or without other people)",72
"Wigram","South Island general electorates","Three or more family household (with or without other people)",372
"Area Outside General Electorate","South Island general electorates","Three or more family household (with or without other people)",NA
"Auckland Central","North Island general electorates","Other multi-person household",10815
"Bay of Plenty","North Island general electorates","Other multi-person household",1983
"Botany","North Island general electorates","Other multi-person household",1263
"Coromandel","North Island general electorates","Other multi-person household",1860
"East Coast","North Island general electorates","Other multi-person household",2895
"East Coast Bays","North Island general electorates","Other multi-person household",1788
"Epsom","North Island general electorates","Other multi-person household",3708
"Hamilton East","North Island general electorates","Other multi-person household",5793
"Hamilton West","North Island general electorates","Other multi-person household",3813
"Helensville","North Island general electorates","Other multi-person household",1368
"Hunua","North Island general electorates","Other multi-person household",1305
"Hutt South","North Island general electorates","Other multi-person household",2304
"Kelston","North Island general electorates","Other multi-person household",2553
"Mana","North Island general electorates","Other multi-person household",1752
"Mangere","North Island general electorates","Other multi-person household",1341
"Manukau East","North Island general electorates","Other multi-person household",2115
"Manurewa","North Island general electorates","Other multi-person household",2115
"Maungakiekie","North Island general electorates","Other multi-person household",4278
"Mt Albert","North Island general electorates","Other multi-person household",6696
"Mt Roskill","North Island general electorates","Other multi-person household",3537
"Napier","North Island general electorates","Other multi-person household",2574
"New Lynn","North Island general electorates","Other multi-person household",2412
"New Plymouth","North Island general electorates","Other multi-person household",2493
"North Shore","North Island general electorates","Other multi-person household",2289
"Northcote","North Island general electorates","Other multi-person household",3105
"Northland","North Island general electorates","Other multi-person household",2151
"Ohariu","North Island general electorates","Other multi-person household",1881
"Otaki","North Island general electorates","Other multi-person household",1545
"Pakuranga","North Island general electorates","Other multi-person household",1503
"Palmerston North","North Island general electorates","Other multi-person household",5487
"Papakura","North Island general electorates","Other multi-person household",1860
"Rangitikei","North Island general electorates","Other multi-person household",1737
"Rimutaka","North Island general electorates","Other multi-person household",1854
"Rodney","North Island general electorates","Other multi-person household",1317
"Rongotai","North Island general electorates","Other multi-person household",5460
"Rotorua","North Island general electorates","Other multi-person household",2682
"Tamaki","North Island general electorates","Other multi-person household",2283
"Taranaki-King Country","North Island general electorates","Other multi-person household",1500
"Taupo","North Island general electorates","Other multi-person household",2025
"Tauranga","North Island general electorates","Other multi-person household",2889
"Te Atatu","North Island general electorates","Other multi-person household",2130
"Tukituki","North Island general electorates","Other multi-person household",2319
"Upper Harbour","North Island general electorates","Other multi-person household",2253
"Waikato","North Island general electorates","Other multi-person household",1785
"Wairarapa","North Island general electorates","Other multi-person household",1842
"Wellington Central","North Island general electorates","Other multi-person household",11658
"Whanganui","North Island general electorates","Other multi-person household",2298
"Whangarei","North Island general electorates","Other multi-person household",2217
"Christchurch Central","South Island general electorates","Other multi-person household",5646
"Christchurch East","South Island general electorates","Other multi-person household",2850
"Clutha-Southland","South Island general electorates","Other multi-person household",3084
"Dunedin North","South Island general electorates","Other multi-person household",10773
"Dunedin South","South Island general electorates","Other multi-person household",1905
"Ilam","South Island general electorates","Other multi-person household",4455
"Invercargill","South Island general electorates","Other multi-person household",2454
"Kaikoura","South Island general electorates","Other multi-person household",1824
"Nelson","South Island general electorates","Other multi-person household",2247
"Port Hills","South Island general electorates","Other multi-person household",2328
"Rangitata","South Island general electorates","Other multi-person household",2064
"Selwyn","South Island general electorates","Other multi-person household",1377
"Waimakariri","South Island general electorates","Other multi-person household",1302
"Waitaki","South Island general electorates","Other multi-person household",1788
"West Coast-Tasman","South Island general electorates","Other multi-person household",1788
"Wigram","South Island general electorates","Other multi-person household",6201
"Area Outside General Electorate","South Island general electorates","Other multi-person household",NA
"Auckland Central","North Island general electorates","One-person household",8172
"Bay of Plenty","North Island general electorates","One-person household",5070
"Botany","North Island general electorates","One-person household",2025
"Coromandel","North Island general electorates","One-person household",7713
"East Coast","North Island general electorates","One-person household",8577
"East Coast Bays","North Island general electorates","One-person household",3084
"Epsom","North Island general electorates","One-person household",4371
"Hamilton East","North Island general electorates","One-person household",5385
"Hamilton West","North Island general electorates","One-person household",5778
"Helensville","North Island general electorates","One-person household",3339
"Hunua","North Island general electorates","One-person household",3894
"Hutt South","North Island general electorates","One-person household",5916
"Kelston","North Island general electorates","One-person household",3618
"Mana","North Island general electorates","One-person household",4632
"Mangere","North Island general electorates","One-person household",1704
"Manukau East","North Island general electorates","One-person household",2703
"Manurewa","North Island general electorates","One-person household",2592
"Maungakiekie","North Island general electorates","One-person household",5079
"Mt Albert","North Island general electorates","One-person household",4620
"Mt Roskill","North Island general electorates","One-person household",3771
"Napier","North Island general electorates","One-person household",7503
"New Lynn","North Island general electorates","One-person household",4107
"New Plymouth","North Island general electorates","One-person household",7131
"North Shore","North Island general electorates","One-person household",4794
"Northcote","North Island general electorates","One-person household",4104
"Northland","North Island general electorates","One-person household",8598
"Ohariu","North Island general electorates","One-person household",4251
"Otaki","North Island general electorates","One-person household",8178
"Pakuranga","North Island general electorates","One-person household",3522
"Palmerston North","North Island general electorates","One-person household",6576
"Papakura","North Island general electorates","One-person household",3873
"Rangitikei","North Island general electorates","One-person household",6279
"Rimutaka","North Island general electorates","One-person household",6252
"Rodney","North Island general electorates","One-person household",5487
"Rongotai","North Island general electorates","One-person household",5973
"Rotorua","North Island general electorates","One-person household",6789
"Tamaki","North Island general electorates","One-person household",4527
"Taranaki-King Country","North Island general electorates","One-person household",5664
"Taupo","North Island general electorates","One-person household",7188
"Tauranga","North Island general electorates","One-person household",6858
"Te Atatu","North Island general electorates","One-person household",3936
"Tukituki","North Island general electorates","One-person household",6378
"Upper Harbour","North Island general electorates","One-person household",2796
"Waikato","North Island general electorates","One-person household",5388
"Wairarapa","North Island general electorates","One-person household",7515
"Wellington Central","North Island general electorates","One-person household",6360
"Whanganui","North Island general electorates","One-person household",8679
"Whangarei","North Island general electorates","One-person household",7197
"Christchurch Central","South Island general electorates","One-person household",8379
"Christchurch East","South Island general electorates","One-person household",5967
"Clutha-Southland","South Island general electorates","One-person household",6207
"Dunedin North","South Island general electorates","One-person household",5820
"Dunedin South","South Island general electorates","One-person household",7050
"Ilam","South Island general electorates","One-person household",4893
"Invercargill","South Island general electorates","One-person household",7041
"Kaikoura","South Island general electorates","One-person household",6183
"Nelson","South Island general electorates","One-person household",6312
"Port Hills","South Island general electorates","One-person household",5649
"Rangitata","South Island general electorates","One-person household",7038
"Selwyn","South Island general electorates","One-person household",3276
"Waimakariri","South Island general electorates","One-person household",4419
"Waitaki","South Island general electorates","One-person household",6894
"West Coast-Tasman","South Island general electorates","One-person household",6708
"Wigram","South Island general electorates","One-person household",5466
"Area Outside General Electorate","South Island general electorates","One-person household",NA
"Auckland Central","North Island general electorates","Household composition unidentifiable",2646
"Bay of Plenty","North Island general electorates","Household composition unidentifiable",1695
"Botany","North Island general electorates","Household composition unidentifiable",1392
"Coromandel","North Island general electorates","Household composition unidentifiable",1461
"East Coast","North Island general electorates","Household composition unidentifiable",4314
"East Coast Bays","North Island general electorates","Household composition unidentifiable",1473
"Epsom","North Island general electorates","Household composition unidentifiable",1677
"Hamilton East","North Island general electorates","Household composition unidentifiable",2058
"Hamilton West","North Island general electorates","Household composition unidentifiable",2031
"Helensville","North Island general electorates","Household composition unidentifiable",2481
"Hunua","North Island general electorates","Household composition unidentifiable",1947
"Hutt South","North Island general electorates","Household composition unidentifiable",1692
"Kelston","North Island general electorates","Household composition unidentifiable",2664
"Mana","North Island general electorates","Household composition unidentifiable",2022
"Mangere","North Island general electorates","Household composition unidentifiable",3279
"Manukau East","North Island general electorates","Household composition unidentifiable",2871
"Manurewa","North Island general electorates","Household composition unidentifiable",3888
"Maungakiekie","North Island general electorates","Household composition unidentifiable",2904
"Mt Albert","North Island general electorates","Household composition unidentifiable",1722
"Mt Roskill","North Island general electorates","Household composition unidentifiable",1578
"Napier","North Island general electorates","Household composition unidentifiable",1875
"New Lynn","North Island general electorates","Household composition unidentifiable",1944
"New Plymouth","North Island general electorates","Household composition unidentifiable",1572
"North Shore","North Island general electorates","Household composition unidentifiable",1182
"Northcote","North Island general electorates","Household composition unidentifiable",1794
"Northland","North Island general electorates","Household composition unidentifiable",4866
"Ohariu","North Island general electorates","Household composition unidentifiable",1107
"Otaki","North Island general electorates","Household composition unidentifiable",1599
"Pakuranga","North Island general electorates","Household composition unidentifiable",1044
"Palmerston North","North Island general electorates","Household composition unidentifiable",1818
"Papakura","North Island general electorates","Household composition unidentifiable",2919
"Rangitikei","North Island general electorates","Household composition unidentifiable",1254
"Rimutaka","North Island general electorates","Household composition unidentifiable",2151
"Rodney","North Island general electorates","Household composition unidentifiable",1539
"Rongotai","North Island general electorates","Household composition unidentifiable",1689
"Rotorua","North Island general electorates","Household composition unidentifiable",3927
"Tamaki","North Island general electorates","Household composition unidentifiable",2160
"Taranaki-King Country","North Island general electorates","Household composition unidentifiable",2001
"Taupo","North Island general electorates","Household composition unidentifiable",2277
"Tauranga","North Island general electorates","Household composition unidentifiable",1539
"Te Atatu","North Island general electorates","Household composition unidentifiable",2496
"Tukituki","North Island general electorates","Household composition unidentifiable",2295
"Upper Harbour","North Island general electorates","Household composition unidentifiable",2055
"Waikato","North Island general electorates","Household composition unidentifiable",2457
"Wairarapa","North Island general electorates","Household composition unidentifiable",1557
"Wellington Central","North Island general electorates","Household composition unidentifiable",1542
"Whanganui","North Island general electorates","Household composition unidentifiable",2130
"Whangarei","North Island general electorates","Household composition unidentifiable",2850
"Christchurch Central","South Island general electorates","Household composition unidentifiable",1608
"Christchurch East","South Island general electorates","Household composition unidentifiable",2163
"Clutha-Southland","South Island general electorates","Household composition unidentifiable",1782
"Dunedin North","South Island general electorates","Household composition unidentifiable",1644
"Dunedin South","South Island general electorates","Household composition unidentifiable",1128
"Ilam","South Island general electorates","Household composition unidentifiable",795
"Invercargill","South Island general electorates","Household composition unidentifiable",1410
"Kaikoura","South Island general electorates","Household composition unidentifiable",1431
"Nelson","South Island general electorates","Household composition unidentifiable",1023
"Port Hills","South Island general electorates","Household composition unidentifiable",1308
"Rangitata","South Island general electorates","Household composition unidentifiable",981
"Selwyn","South Island general electorates","Household composition unidentifiable",1125
"Waimakariri","South Island general electorates","Household composition unidentifiable",927
"Waitaki","South Island general electorates","Household composition unidentifiable",1470
"West Coast-Tasman","South Island general electorates","Household composition unidentifiable",1968
"Wigram","South Island general electorates","Household composition unidentifiable",1527
"Area Outside General Electorate","South Island general electorates","Household composition unidentifiable",NA
